零件名,工序,资源,开始(min),结束(min),时长(min)
AP2-G5-4B2-1P,分拣,自动分拣N51,230.23604206193943,231.81604206193944,1.5800000000000125
AP2-G5-4B2-1P,自动打磨,自动打磨N51,231.81604206193944,233.1900414270188,1.3739993650793565
AP2-G5-4B2-1P,桁架码垛,自动分拣N51,233.1900414270188,234.36004142701879,1.1699999999999875
AP2-G5-4B2-1S,分拣,自动分拣N51,234.36004142701879,235.9400414270188,1.5800000000000125
AP2-G5-4B2-1S,自动打磨,自动打磨N51,235.9400414270188,237.31404079209815,1.3739993650793565
AP2-G5-4B2-1S,桁架码垛,自动分拣N51,237.31404079209815,238.48404079209814,1.1699999999999875
AP2-G2-4S-1S,分拣,自动分拣N51,238.48404079209814,240.06404079209815,1.5800000000000125
AP2-G2-4S-1S,自动打磨,自动打磨N51,240.06404079209815,242.6593413476537,2.5953005555555535
AP2-G2-4S-1S,桁架码垛,自动分拣N51,242.6593413476537,243.8293413476537,1.1699999999999875
AP2-G2-4S-2S,分拣,自动分拣N51,243.8293413476537,245.4093413476537,1.5800000000000125
AP2-G2-4S-2S,自动打磨,自动打磨N51,245.4093413476537,246.78334071273306,1.3739993650793565
AP2-G2-4S-2S,桁架码垛,自动分拣N51,246.78334071273306,247.95334071273305,1.1699999999999875
AP2-G2-4S-3S,自由边打磨,人工打磨N51,160.84570618892363,162.22763244533388,1.381926256410253
AP2-G2-1B2-1P,分拣,自动分拣N51,247.95334071273305,249.53334071273306,1.5800000000000125
AP2-G2-1B2-1P,自动打磨,自动打磨N51,249.53334071273306,252.12864134765368,2.595300634920619
AP2-G2-1B2-1P,桁架码垛,自动分拣N51,252.12864134765368,253.29864134765367,1.1699999999999875
AP2-G3-4B3-1P,分拣,自动分拣N51,253.29864134765367,254.87864134765368,1.5800000000000125
AP2-G3-4B3-1P,自动打磨,自动打磨N51,254.87864134765368,256.25264071273307,1.373999365079385
AP2-G3-4B3-1P,桁架码垛,自动分拣N51,256.25264071273307,257.4226407127331,1.170000000000016
A03S-1299切割后的大件,天车吊运（胎架到成品区）,天车,162.22763244533388,167.22763244533388,5.0
A03S-1293,天车空驶（胎架到原料区）,天车,132.20909014927437,140.20909014927437,8.0
A03S-1293,天车吊运（原料区到胎架）,天车,140.20909014927437,143.20909014927437,3.0
AP2-F2-2P-3P,分拣,自动分拣N21,227.9516992762583,229.5316992762583,1.5800000000000125
AP2-F2-2P-3P,自动打磨,自动打磨N21,229.5316992762583,230.617841974671,1.0861426984126865
