套料图名,分段号,切割机,切割序号,切割开始(min),切割完成(min),切割工时(min),原料吊运开始(min),原料空驶完成(min),原料吊运完成(min),原料吊运返回完成(min),工位开始(min),等待结束(min),工位处理时间(min),工位完工(min),工位,最低优先级
E01S-1228,BN1,N2,63,2265.390132151617,2315.200721929871,49.810589778254425,2254.390132151617,2262.390132151617,2265.390132151617,2265.390132151617,2265.390132151617,2265.390132151617,28.571049771384878,2343.771771701256,0,6
E01S-1234,BN1,N5,64,2449.8692395694115,2504.1607686692882,54.29152909987671,2407.660216422182,2415.660216422182,2418.660216422182,2418.660216422182,2418.660216422182,2449.8692395694115,6.896007025641211,2511.0567756949295,1,6
E01S-1242,BN1,N5,65,2504.1607686692882,2593.6202964250265,89.45952775573826,2456.17204803095,2459.17204803095,2462.17204803095,2462.17204803095,2462.17204803095,2504.1607686692882,109.81637198412636,2703.436668409153,0,6
E01S-1245,BN1,N2,66,2315.200721929871,2323.405716100285,8.204994170414201,2265.390132151617,2273.390132151617,2276.390132151617,2276.390132151617,2276.390132151617,2315.200721929871,6.13594515873001,2329.541661259015,1,7
E01S-1207,BN1,N2,67,2349.771771701256,2362.9986968004623,13.22692509920635,2343.771771701256,2346.771771701256,2349.771771701256,2349.771771701256,2349.771771701256,2349.771771701256,16.54732816401929,2379.5460249644816,0,7
E01S-1232,BN1,N2,68,2362.9986968004623,2436.1525935478858,73.15389674742353,2349.771771701256,2352.771771701256,2355.771771701256,2355.771771701256,2355.771771701256,2362.9986968004623,9.326712205128842,2445.4793057530146,1,7
E01S-1224,BN1,N5,69,2593.6202964250265,2619.2233902424878,25.60309381746118,2511.0567756949295,2519.0567756949295,2522.0567756949295,2522.0567756949295,2522.0567756949295,2593.6202964250265,5.938822358974448,2625.162212601462,1,8
E01S-1217,BN1,N2,70,2436.1525935478858,2439.1710615128904,3.0184679650047936,2379.5460249644816,2382.5460249644816,2385.5460249644816,2385.5460249644816,2385.5460249644816,2436.1525935478858,8.52092523809506,2447.6919867509855,0,9
T63S-4089,STA238FC,N5,71,2636.162212601462,2655.5003691775714,19.338156576109075,2625.162212601462,2633.162212601462,2636.162212601462,2636.162212601462,2636.162212601462,2636.162212601462,66.68629923158142,2722.186668409153,1,1
T63S-4101,STA238FC,N5,72,2703.436668409153,2732.1865086206185,28.749840211465713,2697.436668409153,2700.436668409153,2703.436668409153,2703.436668409153,2703.436668409153,2703.436668409153,84.64256412698478,2816.8290727476033,0,1
