零件名,套料图名,分段号,齐套优先级,零件类型,释放(min),到半框缓存(min),到齐套区(min)
N1-LG1-2-9BS,E01S-1203,BN1,1,small,1833.597216085681,1875.0378460055272,2708.936668409153
N1-F31-2B1S-1S,E01S-1203,BN1,9,small,1833.597216085681,2450.4419867509855,2754.936668409153
N1-ST-3-2S,E01S-1203,BN1,9,small,1833.597216085681,2450.4419867509855,2754.936668409153
N1-ST1-1B1S-1S,E01S-1203,BN1,9,small,1833.597216085681,2450.4419867509855,2754.936668409153
N1-ST2-1B1S-1S,E01S-1203,BN1,9,small,1833.597216085681,2450.4419867509855,2754.936668409153
N1-F21-7S-1S,E01S-1203,BN1,7,large,1833.597216085681,1738.856165692519,1738.856165692519
N1-DB-1SP-3SP,E01S-1203,BN1,9,large,1833.597216085681,1930.945428268432,1930.945428268432
N1-F19-2-1BP,E01S-1244,BN1,1,small,1475.020952225214,1481.9316861934678,2708.936668409153
N1-F30-1SP-2BSP,E01S-1244,BN1,1,small,1475.020952225214,1481.9316861934678,2708.936668409153
N1-F30-1SP-3BSP,E01S-1244,BN1,1,small,1475.020952225214,1481.9316861934678,2708.936668409153
N1-F26-4B1P-1P,E01S-1244,BN1,4,small,1475.020952225214,2323.3422763044305,2723.061668409153
N1-F28-1B1P-1P,E01S-1244,BN1,4,small,1475.020952225214,2323.3422763044305,2723.061668409153
N1-F28-2B1P-1P,E01S-1244,BN1,4,small,1475.020952225214,2323.3422763044305,2723.061668409153
N1-F33-3B1-1P,E01S-1244,BN1,4,small,1475.020952225214,2323.3422763044305,2723.061668409153
N1-F28-3B1S-1S,E01S-1244,BN1,5,small,1475.020952225214,2329.7172763044305,2729.436668409153
N1-F33-3B1-1S,E01S-1244,BN1,5,small,1475.020952225214,2329.7172763044305,2729.436668409153
N1-F22-1B1-1P,E01S-1244,BN1,6,small,1475.020952225214,2660.3418117424862,2735.811668409153
N1-F20-3B1S-1S,E01S-1244,BN1,7,small,1475.020952225214,2706.186668409153,2742.186668409153
N1-F21-2B1S-1S,E01S-1244,BN1,7,small,1475.020952225214,2706.186668409153,2742.186668409153
N1-F22-1B1-1S,E01S-1244,BN1,7,small,1475.020952225214,2706.186668409153,2742.186668409153
N1-F27-2B1S-1S,E01S-1244,BN1,7,small,1475.020952225214,2706.186668409153,2742.186668409153
N1-LG32-1B1-1P,E01S-1244,BN1,8,small,1475.020952225214,2065.988708005938,2748.561668409153
N1-LG32-1B1-1S,E01S-1244,BN1,8,small,1475.020952225214,2065.988708005938,2748.561668409153
N1-F34-1B1-1P,E01S-1244,BN1,9,small,1475.020952225214,2309.670116621891,2754.936668409153
N1-F34-1B1-1S,E01S-1244,BN1,9,small,1475.020952225214,2309.670116621891,2754.936668409153
N1-F34-2B1-1P,E01S-1244,BN1,9,small,1475.020952225214,2309.670116621891,2754.936668409153
N1-F35-1B1-1S,E01S-1244,BN1,9,small,1475.020952225214,2309.670116621891,2754.936668409153
N1-F19-2-1BS,E01S-1246,BN1,1,small,1570.9890115109283,1481.9316861934678,2708.936668409153
N1-F33-1B1K-1P,E01S-1246,BN1,2,small,1570.9890115109283,1878.348538399213,2710.311668409153
N1-F32-2B1-1P,E01S-1246,BN1,4,small,1570.9890115109283,2323.3422763044305,2723.061668409153
N1-F26-3B1S-1S,E01S-1246,BN1,5,small,1570.9890115109283,2329.7172763044305,2729.436668409153
N1-F28-4B1S-1S,E01S-1246,BN1,5,small,1570.9890115109283,2329.7172763044305,2729.436668409153
N1-AG-3-1P,E01S-1246,BN1,6,small,1570.9890115109283,2660.3418117424862,2735.811668409153
N1-F17-1B1-1P,E01S-1246,BN1,6,small,1570.9890115109283,1520.2976708760075,2735.811668409153
N1-F17-1B1-1S,E01S-1246,BN1,6,small,1570.9890115109283,1520.2976708760075,2735.811668409153
N1-F29-4B1P-1P,E01S-1246,BN1,6,small,1570.9890115109283,2660.3418117424862,2735.811668409153
N1-F30-2B1P-1P,E01S-1246,BN1,6,small,1570.9890115109283,2660.3418117424862,2735.811668409153
N1-F30-4B1P-1P,E01S-1246,BN1,6,small,1570.9890115109283,2660.3418117424862,2735.811668409153
N1-F32-2B1-1S,E01S-1246,BN1,6,small,1570.9890115109283,2660.3418117424862,2735.811668409153
N1-AG-3-1S,E01S-1246,BN1,7,small,1570.9890115109283,2706.186668409153,2742.186668409153
N1-F27-4B1S-1S,E01S-1246,BN1,7,small,1570.9890115109283,2706.186668409153,2742.186668409153
N1-F33-1B1K-1S,E01S-1246,BN1,7,small,1570.9890115109283,2706.186668409153,2742.186668409153
N1-F21-1B1P-1P,E01S-1246,BN1,9,small,1570.9890115109283,2309.670116621891,2754.936668409153
N1-F30-1B1P-1P,E01S-1246,BN1,9,small,1570.9890115109283,2309.670116621891,2754.936668409153
N1-F31-1B1P-1P,E01S-1246,BN1,9,small,1570.9890115109283,2309.670116621891,2754.936668409153
N1-F34-2B1-1S,E01S-1246,BN1,9,small,1570.9890115109283,2309.670116621891,2754.936668409153
N1-F35-1B1-1P,E01S-1246,BN1,9,small,1570.9890115109283,2309.670116621891,2754.936668409153
N1-F19-2-1P,E01S-1209,BN1,1,small,1850.1733566412365,1839.1450614031414,2708.936668409153
N1-F19-2-1S,E01S-1209,BN1,1,small,1850.1733566412365,1841.3117614031414,2708.936668409153
N1-F20-5-1P,E01S-1209,BN1,1,small,1850.1733566412365,1845.438891006316,2708.936668409153
N1-F20-5-1S,E01S-1209,BN1,1,small,1850.1733566412365,1850.1733566412365,2708.936668409153
N1-F31-4P-1P,E01S-1223,BN1,1,small,1885.2337822753684,1875.0378460055272,2708.936668409153
N1-F31-5S-1S,E01S-1223,BN1,2,small,1885.2337822753684,1882.7878460055272,2710.311668409153
N1-F32-6P-1P,E01S-1223,BN1,4,small,1885.2337822753684,2186.61784782155,2723.061668409153
N1-F32-7S-1S,E01S-1223,BN1,6,small,1885.2337822753684,2217.4986313020495,2735.811668409153
N1-CG-2KS-2S,E01S-1211,BN1,1,large,1501.6078625276116,1994.785364268432,1994.785364268432
N1-F31-8S-1S,E01S-1211,BN1,2,large,1501.6078625276116,1994.785364268432,1994.785364268432
N1-F29-7S-1S,E01S-1211,BN1,3,large,1501.6078625276116,1994.785364268432,1994.785364268432
N1-STB-1P-1P,E01S-1219,BN1,2,large,1544.0246388065991,1544.0246388065991,1544.0246388065991
N1-STB-2S-1S,E01S-1219,BN1,2,large,1544.0246388065991,1544.0246388065991,1544.0246388065991
N1-AG-6-1P,E01S-1212,BN1,2,large,1589.9262327047013,2008.874116268432,2008.874116268432
N1-AG-6-1S,E01S-1212,BN1,2,large,1589.9262327047013,2008.874116268432,2008.874116268432
N1-STT-1SP-1SP,E01S-1210,BN1,2,large,1905.4944557232948,1905.4944557232948,1905.4944557232948
N1-F30-3S-1S,E01S-1200,BN1,2,small,1643.4030110177464,1640.220678636794,2710.311668409153
N1-DB-1SP-6SP,E01S-1200,BN1,9,small,1643.4030110177464,1649.0030110177463,2754.936668409153
N1-F30-3S-2S,E01S-1200,BN1,9,small,1643.4030110177464,1649.0030110177463,2754.936668409153
N1-DB-1SP-4SP,E01S-1200,BN1,9,large,1643.4030110177464,2027.6597402684322,2027.6597402684322
N1-F20-1P-1P,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
N1-F20-2P-1P,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
N1-F20-3S-1S,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
N1-F20-4S-1S,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
N1-F21-1P-1P,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
N1-F21-2P-1P,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
N1-F21-3S-1S,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
N1-F21-4S-1S,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
N1-F22-1P-1P,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
N1-F22-2P-1P,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
N1-F22-3S-1S,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
N1-F22-4S-1S,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
N1-F23-1P-1P,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
N1-F23-2P-1P,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
N1-F23-3S-1S,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
N1-F23-4S-1S,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
N1-F24-1P-1P,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
N1-F24-2P-1P,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
N1-F24-3S-1S,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
N1-F24-4S-1S,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
